Exited,Scaled Score,France,Spain,Male,Scaled Age,Scaled Tenure,Scaled Balance,NumOfProducts,Balance to Salary ratio,Product to tenure ratio,Age Tenure,Engagement Score,Scaled Salary ,IsActiveMember,Female,Germany,Age,Tenure,HasCrCard,Balance,EstimatedSalary,Year,Credit Score
1,0.26,1,0,0,-0.18,0,0.21,1,53%,0.2,0.14,20%,1.21,1,1,0,37,5,1,"? 89,634.69","? 1,69,583.18",2025,676
1,0.46,1,0,0,1.06,1.03,-1.23,1,0%,0.13,0.16,0%,0.46,0,1,0,50,8,1,? 0.00,"? 1,26,381.60",2025,695
1,-0.84,0,1,1,-0.47,-1.73,1.21,1,148%,1,0,0%,0.04,0,0,0,34,0,1,"? 1,51,839.26","? 1,02,299.81",2025,569
1,0.59,0,1,0,2.39,0,-1.23,3,0%,0.6,0.08,60%,0.22,1,1,0,64,5,0,? 0.00,"? 1,12,520.07",2025,708
1,-0.97,0,0,1,1.72,-1.39,0.7,1,91%,1,0.02,0%,0.56,0,0,1,57,1,1,"? 1,20,043.13","? 1,32,370.75",2025,557
1,-1.8,0,0,0,-1.42,-1.04,0.31,2,59%,1,0.08,0%,1.09,0,1,1,24,2,0,"? 95,675.62","? 1,62,699.70",2025,477
1,-3.03,0,1,0,1.25,1.03,1.07,3,101%,0.38,0.15,0%,0.73,0,1,0,52,8,1,"? 1,43,542.36","? 1,41,959.11",2025,358
1,-0.44,1,0,0,-0.56,-0.35,-1.23,1,0%,0.25,0.12,0%,-0.36,0,1,0,33,4,1,? 0.00,"? 79,304.38",2025,608
1,-0.3,0,0,0,1.25,1.38,0.57,1,69%,0.11,0.17,11%,1.09,1,1,1,52,9,1,"? 1,11,973.97","? 1,62,756.29",2025,622
1,-0.4,0,1,0,1.25,0,1.09,1,147%,0.2,0.1,0%,-0.03,0,1,0,52,5,0,"? 1,44,772.69","? 98,302.57",2025,612
1,-0.6,0,1,1,-1.14,1.72,-1.23,3,0%,0.3,0.37,0%,-0.1,0,0,0,27,10,0,? 0.00,"? 94,620.00",2025,593
1,0.05,1,0,0,1.06,1.72,-1.23,4,0%,0.4,0.2,0%,1.38,0,1,0,50,10,1,? 0.00,"? 1,79,267.94",2025,655
1,-0.98,0,0,1,-0.18,1.38,1.1,2,159%,0.22,0.24,0%,-0.16,0,0,1,37,9,1,"? 1,45,018.64","? 90,928.02",2025,556
1,-0.13,1,0,0,0.39,-0.7,1.11,1,102%,0.33,0.07,33%,0.74,1,1,0,43,3,1,"? 1,45,860.98","? 1,42,763.51",2025,638
1,-0.73,0,0,0,-0.09,-1.39,0.83,1,102%,1,0.03,0%,0.45,0,1,1,38,1,1,"? 1,28,218.47","? 1,25,953.83",2025,580
1,0.35,0,1,1,0.1,-1.04,-0.1,1,61%,0.5,0.05,50%,0.27,1,0,0,40,2,1,"? 70,291.02","? 1,15,468.84",2025,684
1,0,0,0,1,-0.95,-0.7,0.73,1,224%,0.33,0.1,0%,-0.79,0,0,1,29,3,1,"? 1,21,890.06","? 54,530.51",2025,651
1,1.24,1,0,0,2.96,1.38,0.55,1,489%,0.11,0.13,0%,-1.35,0,1,0,70,9,1,"? 1,10,738.89","? 22,666.77",2025,770
1,0.22,0,0,1,0.1,1.72,0.42,1,8009%,0.1,0.25,0%,-1.72,0,0,1,40,10,1,"? 1,02,980.44","? 1,285.81",2025,672
1,0.76,0,0,1,-0.56,-0.35,0.19,1,47%,0.25,0.12,25%,1.51,1,0,1,33,4,0,"? 88,046.88","? 1,86,942.49",2025,724
1,-0.21,1,0,1,1.06,-1.39,0.09,1,129%,1,0.02,100%,-0.63,1,0,0,50,1,0,"? 81,947.76","? 63,606.22",2025,630
1,-2.93,0,1,1,0.29,0.34,0.27,1,55%,0.17,0.14,0%,1.2,0,0,0,42,6,1,"? 93,608.28","? 1,68,816.73",2025,367
1,-1.61,0,1,0,0.58,-0.7,0.2,3,66%,1,0.07,0%,0.61,0,1,0,45,3,1,"? 89,158.94","? 1,35,169.76",2025,495
1,-0.14,0,0,0,0.01,-0.7,0.53,1,124%,0.33,0.08,33%,-0.2,1,1,1,39,3,1,"? 1,09,698.41","? 88,391.29",2025,637
1,0.33,1,0,0,0.29,-1.73,-1.23,1,0%,1,0,100%,-0.14,1,1,0,42,0,0,? 0.00,"? 91,981.85",2025,682
1,-1.43,1,0,1,-0.28,-0.35,1.21,2,394%,0.5,0.11,0%,-1.07,0,0,0,36,4,0,"? 1,52,169.12","? 38,629.30",2025,512
1,0.03,0,0,1,1.82,-1.39,0.9,1,2601%,1,0.02,0%,-1.65,0,0,1,58,1,1,"? 1,32,602.88","? 5,097.67",2025,653
1,-0.4,0,1,0,2.3,-1.04,0.88,2,108%,1,0.03,0%,0.38,0,1,0,63,2,1,"? 1,31,629.17","? 1,22,109.58",2025,612
1,1.62,1,0,0,0.77,1.38,1.46,1,134%,0.11,0.19,0%,0.44,0,1,0,47,9,0,"? 1,67,664.83","? 1,25,440.11",2025,807
1,-0.98,1,0,0,0.39,0.34,-1.23,3,0%,0.5,0.14,0%,0.44,0,1,0,43,6,0,? 0.00,"? 1,25,154.57",2025,556
1,-0.6,0,0,0,0.01,1.03,1.2,1,555%,0.13,0.21,0%,-1.27,0,1,1,39,8,1,"? 1,51,391.68","? 27,274.60",2025,593
1,0.28,1,0,0,0.2,-1.39,1.07,1,73%,1,0.02,0%,1.68,0,1,0,41,1,1,"? 1,43,443.61","? 1,96,622.28",2025,678
1,2.06,0,0,1,1.53,-1.73,0.36,1,118%,1,0,100%,-0.29,1,0,1,55,0,1,"? 98,710.89","? 83,617.17",2025,850
1,0.83,0,0,0,-1.71,1.03,0.89,1,124%,0.13,0.38,0%,0.11,0,1,1,21,8,1,"? 1,32,312.06","? 1,06,663.46",2025,731
1,-0.17,0,0,0,1.91,-0.7,0.31,1,98%,0.33,0.05,0%,-0.04,0,1,1,59,3,0,"? 95,727.05","? 97,939.40",2025,634
1,0.15,0,1,0,1.15,1.03,-1.23,1,0%,0.13,0.16,13%,-1.06,1,1,0,51,8,1,? 0.00,"? 38,928.48",2025,665
1,-1.55,0,1,1,0.39,0.34,0.45,1,129%,0.17,0.14,0%,-0.33,0,0,0,43,6,0,"? 1,04,533.24","? 81,123.59",2025,501
1,-0.15,0,1,1,-0.28,-1.39,-1.23,3,0%,3,0.03,300%,-0.45,1,0,0,36,1,1,? 0.00,"? 74,048.10",2025,636
1,-0.21,0,1,1,0.01,1.72,0.46,1,179%,0.1,0.26,0%,-0.72,0,0,0,39,10,0,"? 1,05,473.74","? 58,854.88",2025,630
1,-0.28,0,0,1,1.06,0.69,0.8,1,19611%,0.14,0.14,14%,-1.73,1,0,1,50,7,0,"? 1,26,608.37",? 645.61,2025,623
1,0.62,1,0,1,1.44,0.34,1.52,1,102%,0.17,0.11,17%,1.16,1,0,0,54,6,1,"? 1,71,137.62","? 1,67,023.95",2025,710
1,0.82,1,0,0,0.77,0.69,-1.23,1,0%,0.14,0.15,0%,-1.16,0,1,0,47,7,1,? 0.00,"? 33,373.26",2025,730
1,-1.6,0,1,0,0.48,-1.73,1.65,2,6144%,2,0,0%,-1.69,0,1,0,44,0,1,"? 1,79,356.28","? 2,919.21",2025,496
1,0.65,1,0,1,-0.56,0.34,0.29,1,48%,0.17,0.18,0%,1.69,0,0,0,33,6,0,"? 94,598.48","? 1,97,519.66",2025,713
1,-0.03,1,0,0,1.44,1.38,0.71,1,2036%,0.11,0.17,0%,-1.64,0,1,0,54,9,0,"? 1,20,633.42","? 5,924.38",2025,648
1,1.39,0,1,0,1.44,-1.39,-1.23,2,0%,2,0.02,0%,-0.96,0,1,0,54,1,1,? 0.00,"? 45,113.92",2025,785
1,-2.04,1,0,1,-0.95,0.34,-1.23,1,0%,0.17,0.21,0%,1.71,0,0,0,29,6,0,? 0.00,"? 1,98,376.02",2025,453
1,-0.96,1,0,0,0.2,0.34,-1.23,1,0%,0.17,0.15,17%,0.76,1,1,0,41,6,1,? 0.00,"? 1,43,585.29",2025,558
1,0.49,0,1,1,0.58,0,1.41,1,116%,0.2,0.11,0%,0.73,0,0,0,45,5,1,"? 1,64,450.94","? 1,41,970.02",2025,698
1,0.98,0,1,0,1.44,1.03,-1.23,1,0%,0.13,0.15,0%,1.28,0,1,0,54,8,1,? 0.00,"? 1,73,912.29",2025,745
1,0.51,1,0,0,-0.66,1.03,0.55,2,69%,0.25,0.25,25%,1.07,1,1,0,32,8,1,"? 1,10,923.15","? 1,61,845.81",2025,700
1,-0.17,0,1,1,2.3,1.72,-1.23,2,0%,0.2,0.16,0%,-1.21,0,0,0,63,10,1,? 0.00,"? 30,772.86",2025,634
1,-0.11,1,0,1,0.39,0.69,0.9,1,190%,0.14,0.16,0%,-0.53,0,0,0,43,7,0,"? 1,32,412.38","? 69,584.30",2025,640
1,-0.73,0,0,1,0.48,1.38,1.07,1,98%,0.11,0.2,0%,0.81,0,0,1,44,9,0,"? 1,43,391.07","? 1,46,891.07",2025,580
1,-0.69,0,0,0,-0.18,1.72,0.92,4,189%,0.4,0.27,40%,-0.51,1,1,1,37,10,1,"? 1,34,171.80","? 70,927.11",2025,584
1,0.2,1,0,0,-0.76,-1.04,-0.3,1,32%,0.5,0.06,50%,1.42,1,1,0,31,2,1,"? 57,530.06","? 1,81,893.31",2025,670
1,0,0,0,0,0.58,0.34,0.16,1,101%,0.17,0.13,0%,-0.25,0,1,1,45,6,1,"? 86,714.06","? 85,869.89",2025,651
1,-0.02,1,0,0,0.58,0,0.26,1,54%,0.2,0.11,0%,1.27,0,1,0,45,5,1,"? 92,786.66","? 1,73,365.90",2025,649
1,-0.38,0,0,0,0.48,0.34,0.68,1,89%,0.17,0.14,0%,0.58,0,1,1,44,6,1,"? 1,18,715.86","? 1,33,591.11",2025,614
1,-0.74,0,1,1,1.63,-0.35,0.37,1,2196%,0.25,0.07,0%,-1.66,0,0,0,56,4,0,"? 99,340.83","? 4,523.74",2025,579
1,0.81,0,0,1,0.01,0.34,0.82,1,69%,0.17,0.15,17%,1.48,1,0,1,39,6,1,"? 1,27,415.85","? 1,84,977.20",2025,729
1,-0.15,0,1,1,2.01,0.69,0.77,1,88%,0.14,0.12,14%,0.72,1,0,0,60,7,1,"? 1,24,447.73","? 1,41,364.62",2025,636
1,-1.59,0,0,0,-0.66,1.03,0.56,4,1174%,0.5,0.25,50%,-1.58,1,1,1,32,8,1,"? 1,11,537.23","? 9,497.99",2025,497
1,-0.13,0,0,0,-0.56,0,0.85,1,229%,0.2,0.15,20%,-0.76,1,1,1,33,5,1,"? 1,29,335.65","? 56,585.20",2025,638
1,0.64,0,0,0,0.1,-0.7,0.53,2,91%,0.67,0.08,0%,0.35,0,1,1,40,3,1,"? 1,09,308.79","? 1,20,158.72",2025,712
1,-0.87,0,0,0,-0.37,-1.39,0.75,1,186%,1,0.03,0%,-0.59,0,1,1,35,1,1,"? 1,23,042.00","? 66,245.44",2025,566
1,1.4,0,0,0,-0.56,-1.73,0.73,1,352%,1,0,0%,-1.14,0,1,1,33,0,0,"? 1,22,325.58","? 34,712.34",2025,786
1,1.54,0,0,1,-0.76,1.38,1.25,1,174%,0.11,0.29,11%,-0.2,1,0,1,31,9,0,"? 1,54,586.92","? 88,604.89",2025,799
1,-0.55,1,0,0,2.01,-1.73,0.89,1,1231%,1,0,0%,-1.55,0,1,0,60,0,0,"? 1,31,778.08","? 10,703.53",2025,597
1,1.96,0,0,0,1.15,-1.39,0.18,1,239%,1,0.02,100%,-1.1,1,1,1,51,1,0,"? 87,779.83","? 36,687.11",2025,840
1,-0.51,1,0,1,0.01,-0.7,-0.06,1,174%,0.33,0.08,0%,-1.01,0,0,0,39,3,1,"? 72,647.64","? 41,777.90",2025,601
1,0.86,1,0,0,1.44,-0.7,-1.23,1,0%,0.33,0.06,0%,0.53,0,1,0,54,3,1,? 0.00,"? 1,30,805.54",2025,734
1,0.22,1,0,0,0.58,1.38,-1.23,1,0%,0.11,0.2,11%,-0.14,1,1,0,45,9,1,? 0.00,"? 92,027.69",2025,672
1,-0.24,0,1,0,1.53,0.34,-1.23,1,0%,0.17,0.11,0%,-0.14,0,1,0,55,6,0,? 0.00,"? 91,943.94",2025,627
1,1.08,1,0,1,0.2,0.34,0.45,1,83%,0.17,0.15,0%,0.45,0,0,0,41,6,1,"? 1,04,817.41","? 1,26,013.58",2025,755
1,-0.14,0,0,1,-0.85,-1.39,0.73,1,119%,1,0.03,0%,0.04,0,0,1,30,1,1,"? 1,22,185.53","? 1,02,566.46",2025,637
1,-0.68,0,0,1,1.06,-1.04,0.79,1,1333%,0.5,0.04,0%,-1.58,0,0,1,50,2,1,"? 1,25,845.66","? 9,439.31",2025,585
1,-0.07,0,0,0,1.15,-0.35,0.31,1,132%,0.25,0.08,0%,-0.48,0,1,1,51,4,0,"? 95,560.04","? 72,628.84",2025,644
1,0.09,1,0,0,1.06,-0.7,-1.23,1,0%,0.33,0.06,0%,1.45,0,1,0,50,3,1,? 0.00,"? 1,83,399.12",2025,659
1,0.58,0,1,0,1.25,0.69,-1.23,1,0%,0.14,0.13,0%,0.17,0,1,0,52,7,1,? 0.00,"? 1,09,688.82",2025,707
1,-3.02,1,0,0,0.48,0.34,0.84,1,88%,0.17,0.14,0%,0.81,0,1,0,44,6,1,"? 1,28,747.69","? 1,46,955.71",2025,359
1,0.64,1,0,1,-0.56,-0.7,1.24,1,194%,0.33,0.09,0%,-0.36,0,0,0,33,3,1,"? 1,53,819.58","? 79,176.09",2025,712
1,-0.07,1,0,0,0.1,1.38,0.97,4,178%,0.44,0.23,0%,-0.4,0,1,0,40,9,1,"? 1,37,285.26","? 77,063.63",2025,644
1,-0.74,0,1,1,-0.56,0.34,-1.23,1,0%,0.17,0.18,0%,-0.09,0,0,0,33,6,1,? 0.00,"? 94,993.04",2025,579
1,-0.36,0,0,0,-1.04,1.72,0.46,1,353%,0.1,0.36,10%,-1.22,1,1,1,28,10,0,"? 1,05,173.99","? 29,835.37",2025,616
1,-0.82,1,0,0,0.29,-0.35,0.52,3,196%,0.75,0.1,0%,-0.77,0,1,0,42,4,1,"? 1,08,825.34","? 55,558.51",2025,571
1,-0.41,1,0,1,-0.37,1.72,-1.23,1,0%,0.1,0.29,10%,-1.33,1,0,0,35,10,1,? 0.00,"? 23,598.23",2025,611
1,-1.2,1,0,0,0.87,1.38,-1.23,1,0%,0.11,0.19,0%,0.87,0,1,0,48,9,1,? 0.00,"? 1,49,892.79",2025,535
1,-1.03,0,1,1,-1.14,-1.04,0.6,1,134%,0.5,0.07,50%,-0.26,1,0,0,27,2,1,"? 1,13,873.22","? 85,129.77",2025,551
1,-1.21,1,0,0,0.96,0.69,-1.23,1,0%,0.14,0.14,0%,-1.5,0,1,0,49,7,1,? 0.00,"? 13,566.48",2025,534
1,1.36,0,1,1,1.25,-0.35,-1.23,1,0%,0.25,0.08,25%,-0.82,1,0,0,52,4,1,? 0.00,"? 52,759.82",2025,782
1,2.06,0,0,1,-1.04,-0.35,1.15,1,244%,0.25,0.14,0%,-0.68,0,0,1,28,4,1,"? 1,47,972.19","? 60,708.72",2025,850
1,0.18,0,0,1,0.77,0.69,0.49,1,68%,0.14,0.15,14%,1.01,1,0,1,47,7,0,"? 1,06,854.21","? 1,57,959.02",2025,668
1,0.25,1,0,0,0.96,-1.73,-1.23,1,0%,1,0,100%,-0.34,1,1,0,49,0,1,? 0.00,"? 80,496.71",2025,675
1,-0.62,0,1,0,0.1,-1.39,0.16,1,63%,1,0.03,100%,0.64,1,1,0,40,1,0,"? 86,376.29","? 1,36,767.16",2025,591
1,-1.65,0,0,0,1.72,-0.35,0.57,1,272%,0.25,0.07,25%,-1.02,1,1,1,57,4,1,"? 1,12,044.72","? 41,229.73",2025,491
1,-0.17,0,1,1,-0.76,1.38,0.52,1,61%,0.11,0.29,11%,1.38,1,0,0,31,9,1,"? 1,08,632.48","? 1,79,485.96",2025,634
1,-0.47,0,1,0,1.72,-1.04,-1.23,3,0%,1.5,0.04,0%,-0.58,0,1,0,57,2,1,? 0.00,"? 66,652.75",2025,605
1,-0.69,0,0,0,1.44,-1.39,0.01,1,56%,1,0.02,0%,0.66,0,1,1,54,1,0,"? 77,354.37","? 1,38,192.98",2025,584
1,1.46,0,0,0,1.91,1.38,0.4,1,63%,0.11,0.15,0%,1.07,0,1,1,59,9,0,"? 1,01,609.77","? 1,61,479.19",2025,792
1,0.79,0,0,1,-0.18,1.38,0.4,1,293%,0.11,0.24,11%,-1.14,1,0,1,37,9,1,"? 1,01,191.83","? 34,551.35",2025,727
1,-0.54,0,0,1,0.2,-0.7,0.24,1,48%,0.33,0.07,0%,1.59,0,0,1,41,3,1,"? 91,536.93","? 1,91,468.78",2025,598
1,0.26,0,0,0,0.87,-1.04,0.77,1,826%,0.5,0.04,0%,-1.48,0,1,1,48,2,1,"? 1,24,442.38","? 15,068.53",2025,676
1,-0.43,0,1,1,2.11,-1.39,-1.23,1,0%,1,0.02,0%,-1.35,0,0,0,61,1,1,? 0.00,"? 22,447.85",2025,609
1,0.57,0,0,1,2.68,-1.39,0.75,2,143%,2,0.01,200%,-0.24,1,0,1,67,1,1,"? 1,23,276.69","? 86,507.88",2025,706
1,-0.31,1,0,1,0.77,-1.73,-1.23,1,0%,1,0,100%,0.59,1,0,0,47,0,1,? 0.00,"? 1,33,831.37",2025,621
1,-1.42,1,0,1,0.48,-1.39,-0.21,2,121%,2,0.02,200%,-0.83,1,0,0,44,1,0,"? 63,562.02","? 52,629.73",2025,513
1,1.68,0,0,0,-0.28,0.34,0.35,1,368%,0.17,0.17,17%,-1.28,1,1,1,36,6,0,"? 98,088.09","? 26,687.22",2025,813
1,-0.52,0,0,0,1.82,1.03,0.68,1,1912%,0.13,0.14,0%,-1.63,0,1,1,58,8,0,"? 1,18,723.11","? 6,209.51",2025,600
1,0.65,0,0,0,-0.09,0.69,1.09,1,256%,0.14,0.18,14%,-0.76,1,1,1,38,7,1,"? 1,44,606.22","? 56,594.36",2025,713
1,-0.07,0,1,1,-1.99,0.69,-1.23,1,0%,0.14,0.39,14%,-0.7,1,0,0,18,7,0,? 0.00,"? 59,645.24",2025,644
1,1.36,0,0,0,3.15,0,1.16,1,5706%,0.2,0.07,0%,-1.7,0,1,1,72,5,1,"? 1,48,666.99","? 2,605.65",2025,782
1,-0.22,1,0,1,0.48,0,-1.23,4,0%,0.8,0.11,0%,0.3,0,0,0,44,5,0,? 0.00,"? 1,17,572.59",2025,629
1,-0.38,1,0,1,1.06,-0.35,0.97,1,108%,0.25,0.08,0%,0.47,0,0,0,50,4,1,"? 1,37,104.47","? 1,27,166.49",2025,614
1,-1.84,1,0,0,0.01,1.38,0.65,2,136%,0.22,0.23,22%,-0.25,1,1,0,39,9,1,"? 1,17,103.26","? 85,937.52",2025,473
1,-1.42,1,0,0,0.58,-1.73,1.41,3,330%,3,0,0%,-0.87,0,1,0,45,0,1,"? 1,64,649.52","? 49,915.52",2025,513
1,-0.42,0,1,0,0.58,-0.7,-1.23,1,0%,0.33,0.07,0%,-1.07,0,1,0,45,3,1,? 0.00,"? 38,276.84",2025,610
1,-1.01,0,1,1,0.77,-0.7,0.64,1,80%,0.33,0.06,0%,0.79,0,0,0,47,3,0,"? 1,16,528.15","? 1,45,704.19",2025,553
1,-0.17,1,0,0,0.58,-1.04,-1.23,4,0%,2,0.04,0%,0.02,0,1,0,45,2,1,? 0.00,"? 1,01,039.53",2025,634
1,-1.27,0,0,0,2.2,0.69,0.91,1,79%,0.14,0.11,0%,1.19,0,1,1,62,7,0,"? 1,33,201.17","? 1,68,507.68",2025,528
1,1.34,0,0,0,-0.18,1.72,0.3,1,75%,0.1,0.27,0%,0.46,0,1,1,37,10,1,"? 95,196.26","? 1,26,310.39",2025,780
1,1.74,0,0,0,0.96,-1.39,0.71,4,73%,4,0.02,0%,1.15,0,1,1,49,1,0,"? 1,20,656.86","? 1,66,164.30",2025,819
1,0.17,1,0,1,0.39,1.03,1.82,1,195%,0.13,0.19,0%,-0.04,0,0,0,43,8,1,"? 1,90,227.46","? 97,508.04",2025,667
1,-1.05,1,0,0,1.25,-1.39,-1.23,1,0%,1,0.02,100%,-1.59,1,1,0,52,1,0,? 0.00,"? 8,636.05",2025,549
1,-0.85,0,0,1,0.67,1.03,1.19,1,234%,0.13,0.17,0%,-0.62,0,0,1,46,8,0,"? 1,50,836.92","? 64,516.80",2025,568
1,-1.34,1,0,1,-0.09,0,0.55,1,81%,0.2,0.13,20%,0.63,1,0,0,38,5,0,"? 1,10,641.18","? 1,36,507.69",2025,521
1,-0.27,1,0,1,1.53,0.69,0.68,1,125%,0.14,0.13,14%,-0.09,1,0,0,55,7,1,"? 1,18,793.60","? 95,022.02",2025,624
1,-0.14,1,0,0,2.3,0,-1.23,1,0%,0.2,0.08,0%,-1.25,0,1,0,63,5,1,? 0.00,"? 28,092.77",2025,637
1,1.16,0,0,0,-0.66,-1.39,0.51,2,179%,2,0.03,0%,-0.69,0,1,1,32,1,1,"? 1,08,465.65","? 60,552.44",2025,763
1,1,1,0,0,0.1,-0.7,-1.23,1,0%,0.33,0.08,0%,-0.74,0,1,0,40,3,0,? 0.00,"? 57,817.84",2025,747
1,1.46,1,0,1,1.06,1.38,-1.23,4,0%,0.44,0.18,44%,1.65,1,0,0,50,9,1,? 0.00,"? 1,94,700.81",2025,792
1,-0.16,1,0,0,-1.14,1.03,0.82,1,83%,0.13,0.3,13%,0.92,1,1,0,27,8,1,"? 1,27,471.56","? 1,52,916.05",2025,635
1,-0.39,0,0,0,1.15,0.69,1.13,1,275%,0.14,0.14,14%,-0.81,1,1,1,51,7,1,"? 1,47,262.11","? 53,630.90",2025,613
